SANCTIONS_ID,LIST_SOURCE,ENTITY_TYPE,ENTITY_NAME,ALIASES,COUNTRY_ID,PROGRAM,SANCTIONS_TYPE,EFFECTIVE_DATE,EXPIRY_DATE,IS_ACTIVE,LAST_UPDATED
1501,UK,INDIVIDUAL,Neal Schinner,[],20,CYBER,SDN,2026-03-01,,True,2026-06-24 16:17:32
1502,OFAC,ORGANIZATION,TrialX,[],3,IRAN,SDN,2025-11-01,,True,2026-06-24 16:17:32
1503,UN,INDIVIDUAL,Mossie Kunze,[],10,SYRIA,SDN,2025-12-12,,True,2026-06-24 16:17:32
1504,OFAC,INDIVIDUAL,Emilio Jakubowski,[],23,SDGT,SDN,2026-01-13,,True,2026-06-24 16:17:32
1505,OFAC,INDIVIDUAL,Janie Nolan,[],21,SYRIA,SDN,2025-08-01,,True,2026-06-24 16:17:32
1506,EU,INDIVIDUAL,Garret Mann,[],4,CYBER,SDN,2025-10-04,,True,2026-06-24 16:17:32
1507,EU,INDIVIDUAL,Tyrique Stroman,[],15,RUSSIA,SDN,2026-02-19,,True,2026-06-24 16:17:32
1508,OFAC,ORGANIZATION,ideas42,[],8,IRAN,SDN,2026-02-14,,True,2026-06-24 16:17:32
1509,EU,INDIVIDUAL,Aletha Walker,[],6,DPRK,SDN,2026-04-16,,True,2026-06-24 16:17:32
1510,OFAC,INDIVIDUAL,Renee Franecki,[],16,RUSSIA,SDN,2025-09-29,,True,2026-06-24 16:17:32
1511,UK,INDIVIDUAL,Elmira Torphy,[],22,IRAN,SDN,2026-01-13,,True,2026-06-24 16:17:32
1512,OFAC,INDIVIDUAL,Karianne Fritsch,[],23,SDGT,SDN,2026-06-07,,True,2026-06-24 16:17:32
1513,OFAC,INDIVIDUAL,Isabelle Brakus,[],23,SYRIA,SDN,2026-02-03,,True,2026-06-24 16:17:32
1514,UK,INDIVIDUAL,Sylvester Flatley,[],5,RUSSIA,SDN,2026-01-12,,True,2026-06-24 16:17:32
1515,UK,INDIVIDUAL,Zaria Johnson,[],22,CUBA,SDN,2026-05-01,,True,2026-06-24 16:17:32
1516,EU,INDIVIDUAL,Ignacio Feest,[],18,CUBA,SDN,2026-02-15,,True,2026-06-24 16:17:32
1517,OFAC,ORGANIZATION,Foursquare,[],1,CUBA,SDN,2026-06-15,,True,2026-06-24 16:17:32
1518,OFAC,ORGANIZATION,T. Rowe Price,[],2,CYBER,SDN,2025-11-15,,True,2026-06-24 16:17:32
1519,OFAC,INDIVIDUAL,Bartholome Jones,[],19,DPRK,SDN,2025-07-07,,True,2026-06-24 16:17:32
1520,UK,INDIVIDUAL,Marco Smitham,[],11,SDGT,SDN,2025-10-30,,True,2026-06-24 16:17:32
1521,UK,ORGANIZATION,Energy Solutions Forum,[],13,IRAN,SDN,2025-07-30,,True,2026-06-24 16:17:32
1522,UK,ORGANIZATION,SimpleTuition,[],14,VENEZUELA,SDN,2026-01-06,,True,2026-06-24 16:17:32
1523,OFAC,VESSEL,MV ring,[],1,SDGT,SDN,2025-07-24,,True,2026-06-24 16:17:32
1524,OFAC,INDIVIDUAL,Vicenta Jaskolski,[],17,CUBA,SDN,2026-05-13,,True,2026-06-24 16:17:32
1525,UN,INDIVIDUAL,Omer Sauer,[],15,VENEZUELA,SDN,2025-10-17,,True,2026-06-24 16:17:32
1526,OFAC,ORGANIZATION,NextBus,[],15,CUBA,SDN,2025-09-19,,True,2026-06-24 16:17:32
1527,UN,INDIVIDUAL,Alexzander Bruen,[],22,CYBER,SDN,2026-03-30,,True,2026-06-24 16:17:32
1528,OFAC,INDIVIDUAL,Lea McKenzie,[],12,DPRK,SDN,2026-01-24,,True,2026-06-24 16:17:32
1529,UN,ORGANIZATION,Politify,[],19,CUBA,SDN,2025-12-30,,True,2026-06-24 16:17:32
1530,UN,INDIVIDUAL,Eve Funk,[],9,RUSSIA,SDN,2025-08-21,,True,2026-06-24 16:17:32
